timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1593489703092,57,POST VALID_NAME,200,,DemoApp Thread Group 1-1,,true,,121,227,1,1,http://localhost:8080/addCar,F:\disk E\Тестирование_материалы\jmeter_files\response_data\POST VALID_NAME_response_07.01.43_30.06.2020_1.unknown,57,ISO-8859-1,1,0,DNAPC,0,28
1593489703151,82,GET ALL,200,,DemoApp Thread Group 1-1,text,true,,526420,183,1,1,http://localhost:8080/search,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET ALL_response_07.01.43_30.06.2020_2.json,64,ISO-8859-1,1,0,DNAPC,0,0
1593489703248,2,GET VALID_NAME_AND_ID,200,,DemoApp Thread Group 1-1,text,true,,205,206,1,1,http://localhost:8080/search?id=1&name=aston-martin,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET VALID_NAME_AND_ID_response_07.01.43_30.06.2020_3.json,2,ISO-8859-1,1,0,DNAPC,0,0
1593489703252,1,GET VALID_ID,200,,DemoApp Thread Group 1-1,text,true,,205,188,1,1,http://localhost:8080/search?id=1,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET VALID_ID_response_07.01.43_30.06.2020_4.json,1,ISO-8859-1,1,0,DNAPC,0,0
1593489703254,23,GET VALID_NAME,200,,DemoApp Thread Group 1-1,text,true,,223135,201,1,1,http://localhost:8080/search?name=aston-martin,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET VALID_NAME_response_07.01.43_30.06.2020_5.json,17,ISO-8859-1,1,0,DNAPC,0,0
1593489703331,53,GET  EMPTY_NAME,200,,DemoApp Thread Group 1-1,text,true,,526420,189,1,1,http://localhost:8080/search?name=,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET  EMPTY_NAME_response_07.01.43_30.06.2020_6.json,38,ISO-8859-1,1,0,DNAPC,0,0
1593489703486,2,GET NON_NUMERIC_ID,400,,DemoApp Thread Group 1-1,text,true,,254,204,1,1,http://localhost:8080/search?id=non_numeric_value,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET NON_NUMERIC_ID_response_07.01.43_30.06.2020_7.json,2,ISO-8859-1,1,0,DNAPC,0,0
1593489703489,2,POST EMPTY_NAME,200,,DemoApp Thread Group 1-1,,true,,121,215,1,1,http://localhost:8080/addCar,F:\disk E\Тестирование_материалы\jmeter_files\response_data\POST EMPTY_NAME_response_07.01.43_30.06.2020_8.unknown,2,ISO-8859-1,1,0,DNAPC,0,1
1593489703492,49,GET ALL,200,,DemoApp Thread Group 1-1,text,true,,526443,183,1,1,http://localhost:8080/search,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET ALL_response_07.01.43_30.06.2020_9.json,33,ISO-8859-1,1,0,DNAPC,0,0
1593489703552,1,GET VALID_NAME_AND_ID,200,,DemoApp Thread Group 1-1,text,true,,205,206,1,1,http://localhost:8080/search?id=1&name=aston-martin,F:\disk E\Тестирование_материалы\jmeter_files\response_data\GET VALID_NAME_AND_ID_response_07.01.43_30.06.2020_10.json,1,ISO-8859-1,1,0,DNAPC,0,0
